MONTEVIDEO,MONTEVIDEO
COLONIA,PASO ANTOLIN
COLONIA,OMBUES DE LAVALLE
COLONIA,TARARIRAS
COLONIA,COLONIA VALDENSE
COLONIA,FLORENCIO SANCHEZ
COLONIA,CONCHILLAS
COLONIA,CASERIO EL CERRO
COLONIA,RIACHUELO
COLONIA,JUAN CARLOS CASEROS
COLONIA,AGRACIADA
COLONIA,BOCA DEL ROSARIO
COLONIA,CUFRE
COLONIA,EL SEMILLERO
COLONIA,ESTACION ESTANZUELA
COLONIA,CERROS DE SAN JUAN
COLONIA,MIGUELETE
COLONIA,CAMPANA
COLONIA,ARTILLEROS
COLONIA,BARKER
COLONIA,EL ENSUEÐO
COLONIA,BLANCA ARENA
COLONIA,BRISAS DEL PLATA
COLONIA,COLONIA COSMOPOLITA
COLONIA,PARAJE MINUANO
COLONIA,LOS PINOS
COLONIA,CHICO TORINO
COLONIA,LA HORQUETA
COLONIA,LA PAZ
COLONIA,PLAYA AZUL
COLONIA,PLAYA BRITOPOLIS
COLONIA,PLAYA PARANT
COLONIA,PLAYA FOMENTO
COLONIA,PUERTO INGLES
COLONIA,RADIAL HERNANDEZ
COLONIA,SAN PEDRO
COLONIA,SANTA ANA
COLONIA,SANTA REGINA
COLONIA,ZAGARZAZU
COLONIA,ARRIVILLAGA
COLONIA,EL FARO
COLONIA,LAGUNA DE LOS PATOS
COLONIA,JUAN JACKSON
COLONIA,PUEBLO GIL
COLONIA,CERRO CARMELO
COLONIA,EL QUINTON
DURAZNO,DURAZNO
DURAZNO,SARANDI DEL YI
DURAZNO,CARMEN
DURAZNO,BLANQUILLO
DURAZNO,LA PALOMA
DURAZNO,CARLOS REYLES
DURAZNO,CENTENARIO
DURAZNO,SANTA BERNARDINA
DURAZNO,CERRO CHATO
DURAZNO,BAYGORRIA
DURAZNO,AGUAS BUENAS
DURAZNO,PUEBLO DE ALVAREZ
DURAZNO,FELICIANO
DURAZNO,OMBUES DE ORIBE
DURAZNO,ROSSELL Y RIUS
DURAZNO,SAN JORGE
DURAZNO,LAS PALMAS
FLORES,TRINIDAD
FLORES,ISMAEL CORTINAS
FLORES,ANDRESITO
FLORES,JUAN JOSE CASTRO
FLORES,LA CASILLA
FLORES,CERRO COLORADO
FLORIDA,FLORIDA
FLORIDA,SARANDI GRANDE
FLORIDA,CASUPA
FLORIDA,CARDAL
FLORIDA,FRAY MARCOS
FLORIDA,25 DE AGOSTO
FLORIDA,25 DE MAYO
FLORIDA,ALEJANDRO GALLINAL
FLORIDA,CAPILLA DEL SAUCE
FLORIDA,LA CRUZ
FLORIDA,NICO PEREZ
FLORIDA,CERRO CHATO
FLORIDA,CHAMIZO
FLORIDA,GOÐI
FLORIDA,MENDOZA
FLORIDA,MENDOZA CHICO
FLORIDA,REBOLEDO
FLORIDA,VALENTINES
FLORIDA,BERRONDO
FLORIDA,PUEBLO FERRER
FLORIDA,INDEPENDENCIA
FLORIDA,MONTECORAL
FLORIDA,PINTADO
FLORIDA,POLANCO DEL YI
FLORIDA,PUNTAS DE MACIEL
FLORIDA,ILLESCAS
FLORIDA,CASERIO LA FUNDACION
FLORIDA,LA MACANA
FLORIDA,ESTACION CAPILLA DEL SAUCE
FLORIDA,SAN GABRIEL
LAVALLEJA,MINAS
